study_number,raw_dataset,raw_dataset_label,raw_variable,raw_variable_label,raw_variable_type,raw_data_format,study_specific,mapping_is_dataset,annotation_text,target_sdtm_domain,target_sdtm_variable,target_sdtm_variable_role,target_sdtm_variable_codelist_code,target_sdtm_variable_controlled_terms_or_format,target_sdtm_variable_ordinal,origin,mapping_algorithm,entity_sub_algorithm,target_hardcoded_value,target_term_value,target_term_code,condition_ordinal,condition_group_ordinal,condition_add_raw_dat,condition_add_tgt_dat,condition_left_raw_dataset,condition_left_raw_variable,condition_left_sdtm_domain,condition_left_sdtm_variable,condition_operator,condition_right_text_value,condition_right_sdtm_domain,condition_right_sdtm_variable,condition_right_raw_dataset,condition_right_raw_variable,condition_next_logical_operator,merge_type,merge_left,merge_right,merge_condition,unduplicate_keys,groupby_keys
CDISCPILOT01,ae_raw,Adverse Events,,,,,FALSE,TRUE,AE = 'Adverse Events',AE,DOMAIN,Identifier Variable,C66734,,2,Assigned,hardcode_ct,,,AE,C49562,,,,,,,,,,,,,,,,,,,,,
CDISCPILOT01,ae_raw,Adverse Events,IT.AETERM,What is the adverse event term? [en],Text,$8 ,FALSE,FALSE,AE.AETERM,AE,AETERM,Topic Variable,,,5,CRF,assign_no_ct,,,,,,,,,,,,,,,,,,,,,,,,,
CDISCPILOT01,ae_raw,Adverse Events,AEOUTCOME,What is the outcome of this adverse event?,Text,$200 ,FALSE,FALSE,AE.AEOUT,AE,AEOUT,Record Qualifier,C66768,(OUT),22,CRF,assign_ct,,,,,,,,,,,,,,,,,,,,,,,,,
CDISCPILOT01,ae_raw,Adverse Events,IT.AESEV,What is the severity of the adverse event? Severity [en],Text,$8 ,FALSE,FALSE,"if ""Mild Adverse Event"" then AE.AESEV = ""MILD"" 
else if ""Moderate Adverse Event"" then AE.AESEV = ""MODERATE"" , 
else if ""Severe Adverse Event"" then AE.AESEV = ""SEVERE""",AE,AESEV,Record Qualifier,C66769,(AESEV),18,CRF,condition_add,hardcode_ct,,"""MILD""",C41338,1.1,0,"condition_add(ae_raw, IT.AESEV == ""Mild Adverse Event"")",,,IT.AESEV,,,Equals,Mild Adverse Event,,,,,,,,,,,
CDISCPILOT01,ae_raw,Adverse Events,IT.AESEV,What is the severity of the adverse event? Severity [en],Text,$8 ,FALSE,FALSE,"if ""Mild Adverse Event"" then AE.AESEV = ""MILD"" 
else if ""Moderate Adverse Event"" then AE.AESEV = ""MODERATE"" , 
else if ""Severe Adverse Event"" then AE.AESEV = ""SEVERE""",AE,AESEV,Record Qualifier,C66769,(AESEV),18,CRF,condition_add,hardcode_ct,,"""MODERATE""",C41339,1.2,0,"condition_add(ae_raw, IT.AESEV == ""Moderate Adverse Event"")",,,IT.AESEV,,,Equals,Moderate Adverse Event,,,,,,,,,,,
CDISCPILOT01,ae_raw,Adverse Events,IT.AESEV,What is the severity of the adverse event? Severity [en],Text,$8 ,FALSE,FALSE,"if ""Mild Adverse Event"" then AE.AESEV = ""MILD"" 
else if ""Moderate Adverse Event"" then AE.AESEV = ""MODERATE"" , 
else if ""Severe Adverse Event"" then AE.AESEV = ""SEVERE""",AE,AESEV,Record Qualifier,C66769,(AESEV),18,CRF,condition_add,hardcode_ct,,"""SEVERE""",C41340,1.3,0,"condition_add(ae_raw, IT.AESEV == ""Severe Adverse Event"")",,,IT.AESEV,,,Equals,Severe Adverse Event,,,,,,,,,,,
CDISCPILOT01,ae_raw,Adverse Events,IT.AESER,Was the adverse event serious? [en],Text,$3 ,FALSE,FALSE,AE.AESER,AE,AESER,Record Qualifier,C66742,(NY),19,CRF,assign_ct,,,,,,,,,,,,,,,,,,,,,,,,,
CDISCPILOT01,ae_raw,Adverse Events,IT.AEREL,"Was this adverse event related to study treatment?
Relationship to Study Treatment [en]
End Date [en]",Text,$8 ,FALSE,FALSE,AE.AEREL,AE,AEREL,Record Qualifier,AEREL,,21,CRF,assign_ct,,,,,,,,,,,,,,,,,,,,,,,,,
CDISCPILOT01,ae_raw,Adverse Events,IT.AEACN,"What action was taken with study treatment?
Action Taken with Study Treatment [en]",Text,$8 ,FALSE,FALSE,AE.AEACN,AE,AEACN,Record Qualifier,C66767,(ACN),20,CRF,assign_ct,,,,,,,,,,,,,,,,,,,,,,,,,
CDISCPILOT01,ae_raw,Adverse Events,AESCAN,Does the event involve cancer?,Text,$3 ,FALSE,FALSE,AE.AESCAN,AE,AESCAN,Record Qualifier,C66742,(NY),23,CRF,assign_ct,,,,,,,,,,,,,,,,,,,,,,,,,
